name,hex_color,hue_deg,wavelength_nm,frequency_thz,frequency_hz,photon_energy_ev,polarity,field_type,field_strength,resonance,complement_hue
red,#FF0000,0,700,428,428000000000000,1.7726,POSITIVE,FORCE_FIELD,0.8925,0.85,180.0
red-orange,#FF4500,30,630,476,476000000000000,1.9695,POSITIVE,FORCE_FIELD,0.675,0.75,210.0
orange,#FF7F00,60,610,492,492000000000000,2.0341,POSITIVE,FORCE_FIELD,0.525,0.7,240.0
yellow-orange,#FFBF00,90,590,508,508000000000000,2.1031,POSITIVE,AMBIENT_FIELD,0.39,0.65,270.0
yellow,#FFFF00,120,575,521,521000000000000,2.1579,POSITIVE,AMBIENT_FIELD,0.27,0.72,300.0
yellow-green,#7FFF00,150,555,541,541000000000000,2.2357,NEGATIVE,NULL_FIELD,0.1845,0.82,330.0
green,#00FF00,180,530,566,566000000000000,2.3411,NEGATIVE,FORCE_FIELD,0.858,0.88,0.0
blue-green,#00FF7F,210,505,594,594000000000000,2.457,NEGATIVE,FORCE_FIELD,0.876,0.8,30.0
blue,#0000FF,240,470,638,638000000000000,2.64,NEGATIVE,FORCE_FIELD,0.855,0.76,60.0
blue-violet,#4B0082,270,450,667,667000000000000,2.7573,NEGATIVE,FORCE_FIELD,0.5775,0.7,90.0
violet,#8B00FF,300,420,714,714000000000000,2.9543,NEGATIVE,NULL_FIELD,0.2475,0.66,120.0
red-violet,#C71585,330,390,769,769000000000000,3.1815,BALANCED,NULL_FIELD,0.108,0.72,150.0