name,hex_color,hue_deg,wavelength_nm,frequency_thz,photon_energy_ev,positive_charge,negative_charge,charge_differential,charge_magnitude,polarity,resonance,field_strength,field_type
red,#FF0000,0,700,428,1.7726,0.9,0.2,0.7,0.922,POSITIVE,0.85,0.8925,FORCE_FIELD
red-orange,#FF4500,30,630,476,1.9695,0.85,0.25,0.6,0.886,POSITIVE,0.75,0.675,FORCE_FIELD
orange,#FF7F00,60,610,492,2.0341,0.8,0.3,0.5,0.854,POSITIVE,0.7,0.525,FORCE_FIELD
yellow-orange,#FFBF00,90,590,508,2.1031,0.75,0.35,0.4,0.830,POSITIVE,0.65,0.39,AMBIENT_FIELD
yellow,#FFFF00,120,575,521,2.1579,0.65,0.4,0.25,0.762,POSITIVE,0.72,0.27,AMBIENT_FIELD
yellow-green,#7FFF00,150,555,541,2.2357,0.4,0.55,-0.15,0.680,NEGATIVE,0.82,0.1845,NULL_FIELD
green,#00FF00,180,530,566,2.3411,0.2,0.85,-0.65,0.873,NEGATIVE,0.88,0.858,FORCE_FIELD
blue-green,#00FF7F,210,505,594,2.457,0.15,0.88,-0.73,0.893,NEGATIVE,0.8,0.876,FORCE_FIELD
blue,#0000FF,240,470,638,2.64,0.15,0.9,-0.75,0.912,NEGATIVE,0.76,0.855,FORCE_FIELD
blue-violet,#4B0082,270,450,667,2.7573,0.25,0.8,-0.55,0.838,NEGATIVE,0.7,0.5775,FORCE_FIELD
violet,#8B00FF,300,420,714,2.9543,0.4,0.65,-0.25,0.762,NEGATIVE,0.66,0.2475,NULL_FIELD
red-violet,#C71585,330,390,769,3.1815,0.6,0.5,0.1,0.781,BALANCED,0.72,0.108,NULL_FIELD